Name,cluster
Лампа комактна люмінісцентна 2G7 11W/840 DULUX S/Е Osram 4050300020181,1
Клемна колодка в корпусі Аско ТВ 1504 A0130050002,1
Лампа TV Osram Е14 25W T-25 синя,3
Лампа для холодильника РП Іскра Е14 230B 15W S25 прозора,3
Лампа для духовки Osram SPC.T OVEN CL 15W 230V E14 прозора,3
"Лампа LED E14 Lezard 30000h свіча 7,0W/2700 B35 N427-B35-1407",8
"Лампа LED E27 Feron 50000h шар 6,0W/2700 G45 LB-745 5028",8
Перемикач DIN I-0-II 2-полюсний ETI SSQ 240 40А 002421425,0
Коробка для 3-фазного електронного лічильника IP54 КДЕ-У (8 модулiв),1
Вимикач ножний E.Next e.fs.01 пластиковий p0810151,6
"F конектор для кабелю RG-6, накрутний FF-1 D=6.6мм",4
"Диференційне реле 4-полюсне Hager CD464J AC-63/0,03А",1
Вилка 3п з ричагом Legrand 16А 50175 біла,1
Реле напруги 1-фазне в розетку ZUBR R116y 16А,1
Перемикач DIN I-0-II 2-полюсний ETI SSQ 240 40А 002421425,0
Вилка із заземлюючим контактом Legrand 50196 чорна,1
Вилка кабельна 400V IP44 Sez 5 полюсів 32А IVN3253,3
Контактор безшумний 230V Hager ESC225S 25A 2но,3
Кріплення для труб APRO 25мм / уп.50 шт,1
Вилка 380V каучукова IP44 Lezard 3P+N 32А 332-0100-0201 чорна,3
Розетка 380V каучукова IP44 Lezard 3P+N 32А 332-0100-0203 чорна,3
Перемикач I-0-II 230V 1-полюсний Hager SFT140 40А вихід зверху,14
Перемикач I-0-II 230V 1-полюсний Hager SFB125 25А вихід знизу,14
Перемикач I-0-II 230V 2-полюсний Hager SFB216 16А вихід знизу (Перемикач вводу резерву),14
Перемикач I-0-II 230V 2-полюсний Hager SFB216 16А вихід знизу (Перемикач вводу резерву),14
Перемикач клавішний KCD1-5-101N GR/B круглий з підсвіткою зелений АСКО-УКРЕМ A0140040072,4
Перемикач DIN I-0-II 2-полюсний E.Next e.is3.pro.2.40 40А p008024,0
Контактор 220V/АС3 ІЕК КМИ-11210 12А 1нв KKM11-012-230-10,3
"Шина з'єднувальна E.Next e.bc.u.stand.2.63 вилочного U-типу 2р, 63А  s180002",0
Мікровимикач Аско Z-15GQ22-B A0050040001,1
Корпус щита розподільний зовнішній IP40 ETI DIDO-E ECT 12PO 1101006 біла дверка,1
Контактор DIN AC УЕК КМ20-20М MKK11-20-20,1
Роз’єм модульний до РЭК78/3 УЕК РРМ78/3 RRP20D-RRM-3,4
"Диференційне реле 2-полюсне Hager CD263J A-63/0,03А",1
Контактор 230V Hager ESC464 63A 4нз,3
Перемикач I-0-II 230V 2-полюсний Hager SFB216 16А вихід знизу (Перемикач вводу резерву),14
Тримач клем QuickConnect Hager VZ707N до щитів Golf VF/VS 12 модулів,10
Перемикач I-0-II 230V 2-полюсний Hager SFB216 16А вихід знизу (Перемикач вводу резерву),14
Реле проміжне 230V AC 10А E.Next e.control.p1036 i.ly3.230ac,3
Роз’єм модульний до реле ly3 10А E.Next e.control.p103s i.ptf.11a,0
Роз’єм модульний до реле ly4 10А E.Next e.control.p104s i.ptf.14a,0
Реле проміжне 230V AC 10А E.Next e.control.p1046 i.ly4.230ac,3
Лампа розжарювання МО Е27 40W/ 12V,3
Перемикач DIN I-0-II 4-полюсний E.Next e.is3.pro.4.40 40А p008025,0
Перемикач DIN I-0-II 2-полюсний ETI SSQ 240 40А 002421425,0
Розетка із заземлюючим контактом SHUKO на DIN-рейку Schneider A9A15310 16A 250V,3
Індикатор модульний LED Hager SVN121 зелений,8
Корпус зовнішній димчасті дверки Golf IP40/II Hager VS108TD 8 модулів ніша 184*210*99,10
Тримач з клемами 16*N+14*PE/4*N+4*PE Hager VZ462 до щитів Volta,1
Лампа для холодильника РП Іскра Е14 230B 15W S25 прозора,3
Реле часу аналогове DIN AC/DC 12-240 ETI CRM-2H UNI 1 модульне 2470003,3
Розетка із заземлюючим контактом DIN E.Next s004002 e.socket.pro.din.tms 230V,3
Перемикач DIN I-0-II 2-полюсний E.Next e.is3.pro.2.40 40А p008024,0
Кнопка поворотна XB2-BJ33 3-х позиційна подовжена ручка АСКО-УКРЕМ A0140010007,1
"Індикатор-викрутка E.Next e.tool.test02 140х3,5 прямий шліц АС100-500В t001102",6
"Корпус E.Next e.mbox.stand.w.f3.36.z.e металевий, під 3-ф. електронний лічильник, 36 мод., що вбудовується, з замком",0
Корпус щита пластиковий IP20 з кришкою 1-2 модулі,1
Корпус щита пластиковий Білмакс IP20 без кришки 3-4 модулі,1
Шина DIN оцинкована УЕК L-10 см YDN10-00100-U,0
"Наклейка трикутна 85*85*85мм УЕК ""блискавка"" YPC30-MOLNI-3-096",3
"Наклейка трикутна 100*100*100мм УЕК ""Блискавка"" YPC30-MOLNI-4-096",3
"Наклейка 40*20мм УЕК ""220В"" YPC10-0220V-1-100",3
Колодка клемна з кришкою E.Next e.tc.protect.15.12 p056005 15А 12 полюсів,1
Коробка розподільна IP55 Spelsberg 332-912 I12-L 85*85*37 сіра 33291201,1
Клемна колодка в корпусі Аско ТВ 1505 A0130050003,1
Клемна колодка в корпусі Аско ТВ 1504 A0130050002,1
Патрон люстровий з гайкою E.Next Е27 s9100007 пластиковий чорний,4
Патрон люстровий з гайкою E.Next e.lamp socket with nut.E27.pl.white Е27 s9100016 білий,5
Викрутка-пробник електронна УЕК ОП-2е TPR20,12
Перемикач DIN I-0-II 2-полюсний ETI SSQ 240 40А 002421425,0
"OLFLEX HEAT 180 SiF провід силіконовий термостійкий 4,0",7
Реле часу багатофункціональне AC230 (таблетка) ETI SMR-T 2470004 (в монтажну коробку),3
Лампа компактна Osram G23 11W/840 DULUX S,8
Корпус зовнішній без дверок Volta IP30/II Hager VA48CN (VA48B) 48(56) модулів,1
Таймер DIN добовий Hager інтервал 15 хвилин 16А 1 модульний EH010 (1нв) кварцевий генератор,1
Блок PE-клем Hager KN26E,11
Блок N-клем Hager KN26N,11
Лампа ртутно-вольфрамова Delux Е40 250W GYZ 10007874,3
Лічильник 3 фазний 5- 60А електронний активної енергії NIK-2301 AP2.0000.0.11 (АП2),6
Корпус зовнішній прозора дверка Vector IP65/II Hager VE212DN 24 модулів 310*427*151,1
Вимикач автоматичний 1-полюсний RESI9 Schneider 6kA R9F12120 C 20А,6
Тримач клем QuickConnect Hager VZ708N до щитів Golf VF/VS 18/22 модулі,10
Тримач клем QuickConnect Hager VZ707N до щитів Golf VF/VS 12 модулів,10
Роз’єм модульний до реле ly4 10А E.Next e.control.p104s i.ptf.14a,0
Лампа розжарювання МО Е27 40W/ 12V,3
Накладка резинова для конектора 8р8с RJ45,1
Конектор 8р8с 5 категорії RJ45,1
Вита пара c.5е кабель імпортний UTP (CCA) 4PR 24AWG,1
Корпус щита пластиковий IP20 з кришкою 1-2 модулі,1
Перемикач клавішний KCD2-201N GR/B з підсвіткою зелений АСКО-УКРЕМ A0140040102,4
Патрон люстровий з гайкою E.Next e.lamp socket with nut.E27.pl.white Е27 s9100016 білий,5
Коробка розподільна IP55 Schneider IMT35090 70*70*40,1
Корпус щита пластиковий зовнішній IP65 ETI ECH 12PT 1101062 прозора горизонтальна дверка,1
Розетка 380V настінна IP44 УЕК 4 полюси 16А ССИ-114 PSR12-016-4-U,3
Корпус щита пластиковий зовнішній IP65 ETI ECH 12PT 1101062 прозора горизонтальна дверка,1
Перемикач клавішний KCD1-2-101N R/B з підсвіткою червоний АСКО-УКРЕМ A0140040053,4
Перемикач клавішний KCD2-2101N R/B з підсвіткою червоний АСКО-УКРЕМ A0140040109,4
Перемикач клавішний KCD3-101N R/B з підсвіткою червоний АСКО-УКРЕМ A0140040027,4
Перемикач клавішний KCD2-3101N R/B з підсвіткою червоний АСКО-УКРЕМ A0140040120,4
Контактор 230V Hager ESC125 25A 1нв,3
"Вимикач автоматичний 1-полюсний E.Next 4,5кА s002008 16A e.mcb.stand.45.1.C16",0
Колодка клемна полістирольна подільна УЕК 12*16 ЗВИ-30А негорюча біла UZV2-030-10,1
Реле проміжне 230V AC 5А E.Next e.control.p536 i.my3.230ac,3
Корпус щита пластиковий IP20 K-7,1
"Вимикач автоматичний 2-полюсний УЕК 4,5кА ВА 47- 29М C 20А MVA21-2-020-C",6
Вимикач автоматичний 2-полюсний Hager 6kA MC240A C 40A,9
"Спіральна обв'язка E.Next e.spiral.stand.6.black, 4-50 мм, 10м, чорна  s2038011",2
Індикатор модульний LED УЕК ЛС-47М жовтий MLS20-230-K05,8
Розетка модульна 16А Hager SN016,1
Кріплення для труб 20мм/пакунок 100шт,1
Корпус пластиковий зовнішній IP41 УЕК білий ЩРН-П-12 MKP12-N-12-40-10,1
Розетка із заземлюючим контактом SHUKO на DIN-рейку Schneider A9A15310 16A 250V,3
Патрон люстровий з гайкою E.Next e.lamp socket with nut.E27.pl.white Е27 s9100016 білий,5
Клемна колодка в корпусі Аско ТВ 4504 A0130050018,1
"Лампа галогенова капсульна 12V Philips GY6,35 20W 13104 Caps.line(uv)",3
Лічильник трифазний E.Next e.control.w05 10(100)А електронний клас 1.0 (некомер) i0310032,6
"Клема з’єднувальна з пастою Wago 2273-248 8*0,5-2,5 кв.мм прозора/біла (для монолітних проводів)",1
"Клема з’єднувальна з пастою Wago 2273-242 2*0,5-2,5 кв.мм прозора/біла (для монолітних проводів)",1
Перемикач I-0-II 230V 1-полюсний Hager SFB116 16А вихід знизу,14
"Шина ""N"" DIN-iзольована E.Next p0650013 e.bsi.pro.2.10 (10 відгалужень)",0
Шина DIN оцинкована УЕК L- 60 см YDN10-0060,0
"Корпус E.Next e.mbox.stand.n.06.z металевий, під 6 мод., навісний, з замком  s0100019",0
"Датчик руху 1100W(600VA) 12м IP44 УЕК ДД 012 чорний 180"" LDD10-012-1100-002",4
Кріплення для труб 16мм/пакунок 100шт,1
Трубка ПВХ гофрована з протяжкою 320N Kopos D 16/1416E D K50D сiра,1
Корпус щита пластиковий IP20 з кришкою 1-2 модулі,1
